2016/04/06 11:26:30 INFO  - jmeter.util.JsseSSLManager: SSL session context: per-thread 
2016/04/06 11:26:30 INFO  - jmeter.util.SSLManager: JmeterKeyStore Location: C:\Users\neethi_thilakan\.keystore 
2016/04/06 11:26:30 INFO  - jmeter.util.SSLManager: KeyStore created OK, Type: JKS 
2016/04/06 11:26:30 WARN  - jmeter.util.SSLManager: Keystore file not found, loading empty keystore 
2016/04/06 11:28:13 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/dashboard_survey_details.php?TYPE=4S&QGID=java.net.ConnectException:%20Connection%20timed%20out:%20connect 
2016/04/06 11:28:13 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/dashboard_survey_details.php?TYPE=4S&QGID=java.net.ConnectException:%20Connection%20timed%20out:%20connect 
2016/04/06 11:28:13 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Error Response Code: 400 
2016/04/06 11:28:14 ERROR - jmeter.protocol.http.sampler.HTTPSampler: readResponse: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/ssredirect.php?grpId=java.net.ConnectException:%20Connection%20timed%20out:%20connect&prjId=java.net.ConnectException:%20Connection%20timed%20out:%20connect&clientId=java.net.ConnectException:%20Connection%20timed%20out:%20connect 
2016/04/06 11:28:14 ERROR - jmeter.protocol.http.sampler.HTTPSampler: Cause: java.io.IOException: Server returned HTTP response code: 400 for URL: https://www.ipoll.com/ssredirect.php?grpId=java.net.ConnectException:%20Connection%20timed%20out:%20connect&prjId=java.net.ConnectException:%20Connection%20timed%20out:%20connect&clientId=java.net.ConnectException:%20Connection%20timed%20out:%20connect 
2016/04/06 11:28:14 INFO  - jmeter.protocol.http.sampler.HTTPSampler: Error Response Code: 400 
2016/04/06 11:28:42 WARN  - jmeter.extractor.BSFPostProcessor: Problem in BSF script org.apache.bsf.BSFException: JavaScript Error: Internal Error: org.mozilla.javascript.EcmaError: TypeError: Cannot read property "results" from undefined 
2016/04/06 11:28:56 INFO  - jmeter.util.BeanShellTestElement: Sleep for 0 milli-seconds 
2016/04/06 11:30:01 INFO  - jmeter.util.BeanShellTestElement: Sleep for 0 milli-seconds 
2016/04/06 11:31:07 INFO  - jmeter.threads.JMeterThread: Thread finished: Normal Client - Survey Flow 1-1 
2016/04/06 11:31:07 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Normal Client - Survey Flow 1-1 
2016/04/06 11:31:08 INFO  - jmeter.engine.StandardJMeterEngine: Starting 10 threads for group Basic Get. Ramp up = 10. 
2016/04/06 11:31:08 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/04/06 11:31:08 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-1 
2016/04/06 11:31:08 INFO  - jmeter.engine.StandardJMeterEngine: Waiting for thread group: Basic Get to finish before starting next group 
2016/04/06 11:31:09 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-2 
2016/04/06 11:31:09 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-1 
2016/04/06 11:31:09 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-1 
2016/04/06 11:31:10 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-3 
2016/04/06 11:31:10 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-2 
2016/04/06 11:31:10 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-2 
2016/04/06 11:31:11 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-4 
2016/04/06 11:31:11 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-3 
2016/04/06 11:31:11 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-3 
2016/04/06 11:31:12 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-5 
2016/04/06 11:31:12 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-4 
2016/04/06 11:31:12 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-4 
2016/04/06 11:31:13 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-6 
2016/04/06 11:31:13 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-5 
2016/04/06 11:31:13 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-5 
2016/04/06 11:31:14 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-7 
2016/04/06 11:31:14 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-6 
2016/04/06 11:31:14 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-6 
2016/04/06 11:31:15 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-8 
2016/04/06 11:31:15 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-7 
2016/04/06 11:31:15 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-7 
2016/04/06 11:31:16 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-9 
2016/04/06 11:31:16 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-8 
2016/04/06 11:31:16 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-8 
2016/04/06 11:31:17 INFO  - jmeter.threads.JMeterThread: Thread started: Basic Get 2-10 
2016/04/06 11:31:17 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-9 
2016/04/06 11:31:17 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-9 
2016/04/06 11:31:18 INFO  - jmeter.threads.JMeterThread: Thread finished: Basic Get 2-10 
2016/04/06 11:31:18 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Basic Get 2-10 
2016/04/06 11:31:19 INFO  - jmeter.engine.StandardJMeterEngine: Starting 6 threads for group Profiles and Channels. Ramp up = 6. 
2016/04/06 11:31:19 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/04/06 11:31:19 INFO  - jmeter.threads.JMeterThread: Thread started: Profiles and Channels 3-1 
2016/04/06 11:31:19 INFO  - jmeter.engine.StandardJMeterEngine: Waiting for thread group: Profiles and Channels to finish before starting next group 
2016/04/06 11:31:20 INFO  - jmeter.threads.JMeterThread: Thread started: Profiles and Channels 3-2 
2016/04/06 11:31:20 INFO  - jmeter.threads.JMeterThread: Thread finished: Profiles and Channels 3-1 
2016/04/06 11:31:20 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Profiles and Channels 3-1 
2016/04/06 11:31:21 INFO  - jmeter.threads.JMeterThread: Thread started: Profiles and Channels 3-3 
2016/04/06 11:31:21 INFO  - jmeter.threads.JMeterThread: Thread finished: Profiles and Channels 3-2 
2016/04/06 11:31:21 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Profiles and Channels 3-2 
2016/04/06 11:31:22 INFO  - jmeter.threads.JMeterThread: Thread started: Profiles and Channels 3-4 
2016/04/06 11:31:22 INFO  - jmeter.threads.JMeterThread: Thread finished: Profiles and Channels 3-3 
2016/04/06 11:31:22 INFO  - jmeter.engine.StandardJMeterEngine: Ending thread Profiles and Channels 3-3 
2016/04/06 11:31:23 INFO  - jmeter.threads.JMeterThread: Thread started: Profiles and Channels 3-5 
2016/04/06 11:31:23 INFO  - jmeter.threads.JMeterThread: Thread finished: Profiles and Channels 3-4 
