sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/,248,3090,78,32600,4789.042831864337,0.0,0.8566523545849899,29.6237125387307,35410.72580645161
/css/anylinkmenu.css,39,374,2,7596,1248.3019946401132,0.0,0.13753751423865931,0.25734558328249146,1916.0
/js/anylinkmenu.js,39,173,2,3460,592.7956010203568,0.0,0.13735731568585324,1.7585492271890002,13110.0
/language_tmp/en.js,39,273,2,9242,1456.6334945378674,0.0,0.137281405761595,0.6295639467348145,4696.0
/js/common.js,39,431,6,8807,1470.7277865812632,0.0,0.13689253935660506,5.726091931895962,42833.0
/js/AC_ActiveX.js,39,122,2,1793,379.0679336957223,0.0,0.13612042818600334,0.33923762961980514,2552.0
/js/AC_RunActiveContent.js,39,73,2,1507,242.61523286122218,0.0,0.1360335409879523,0.5022879086674293,3781.0
/images//world_map.gif,39,177,2,6114,964.0159249123168,0.0,0.13603259201384044,0.15914750510994222,1198.0
/js/jquery.js,78,1764,6,19504,3945.9970196132745,0.0,0.247804704477005,13.85963968242874,57272.0
/js/jquery.flash.js,39,374,2,13808,2179.5516940677826,0.0,0.13601693585232047,1.1695596876754706,8805.0
/js/JavaScriptFlashGateway.js,39,92,2,1672,297.62912158774725,0.0,0.13597852236672361,1.7783441128273072,13392.0
/js/login.js,39,79,2,1334,215.05274799022206,0.0,0.13597188519789138,0.21179214540101246,1595.0
/images/spacer.gif,39,40,1,289,66.91356647228395,0.0,0.13597093708380692,0.005709717084573922,43.0
/js/facebook.js,39,49,2,1283,202.47340390762642,0.0,0.13596904089530382,0.7106506903043615,5352.0
/css/pl_facebook.css,39,69,2,1785,280.38473379993513,0.0,0.1359671447596868,0.48969416979855945,3688.0
/images/icon-abtus.gif,39,44,2,442,92.3840567316599,0.0,0.1359671447596868,0.08033215095665089,605.0
/images/PL-bbb-logo.gif,39,38,2,687,111.8924239165214,0.0,0.13596572269267912,0.370851819805325,2793.0
/ga.js,195,26,5,671,58.15639979922105,0.0,0.6165325576616028,15.134549708925492,25137.0
/images/surveyhead/fb-BG.png,39,329,208,2230,322.70167055475514,0.0,0.1355055922115555,0.46116893443092866,3485.0
/__utm.gif,195,23,3,1457,125.35550666254989,0.0,0.6171413380257175,0.021093698077050888,35.0
/quant.js,195,13,3,1132,82.0147043469985,0.0,0.6171354786439476,3.1730647412699065,5265.0
/pixel;r=1210992683;fpan=0;fpa=P0-662244094-1282886342605;ns=0;url=http%3A%2F%2Fwww.dev.stagesurveys.com%2F;ref=;ce=1;je=1;sr=1280x1024x16;enc=n;ogl=;dg=P14477-W-MS-7;dst=1;et=1282886605750;tzo=420;a=p-833T_QPdA5xtA,39,6,2,54,8.542118259097082,0.0,0.1351421591558813,0.004619116768023286,35.0
/js/api_lib/v0.4/FeatureLoader.js.php/en_US,195,19,2,180,33.756954722108055,0.0,0.6173738499433282,11.06148244620141,18347.0
/bootstrap/7aef8cd3bbb8833043cfd92aa8c6f1db/bootstrap.js,39,8,2,80,15.472059183722617,0.0,0.13513888118866774,0.1625889664301159,1232.0
/connect.php/en_US/js/Api/CanvasUtil/Connect/XFBML,195,71,5,3433,296.18612518061497,0.0,0.6172859046720629,127.4376054035467,211403.02564102566
/flash/CB_Cookie.swf,39,106,2,1798,281.27262214520954,0.0,0.13514075429331782,0.3187157437679321,2415.0
/connect.php/en_US/css/bookmark-button-css/connect-button-css/share-button-css/FB.Connect-css/connect-css,195,30,2,3228,248.47754016900967,0.0,0.6173230340635684,8.600925514633722,14267.0
/extern/login_status.php,195,134,18,3618,334.95074837889115,0.0,0.6172878587392133,0.03496357012390075,58.0
/rsrc.php/z6D2S/hash/c729bxo3.swf,39,17,2,347,55.82779712904132,0.0,0.1352269732736023,0.4030397679990569,3052.0
/flash/JavaScriptFlashGateway.swf,39,47,2,341,64.29957418190031,0.0,0.13538752074206248,0.23547380316563796,1781.0
/images/connect_sprite.png,39,19,2,406,67.56971221786038,0.0,0.13538658075983115,0.2533209850935903,1916.0
/index.php,53,29114,617,72931,25548.035738062834,0.0,0.17554667885556816,10.252903532752704,59807.301886792455
/dashboard.php,39,39091,257,75869,26157.46783694908,0.0,0.12465679427473719,8.431716768776031,69262.79487179487
/js/dashboard.js,78,1523,2,12455,3131.243337256583,0.0,0.2487205242263357,2.398064195006457,9873.0
